phase,scope,category,dso,symbol,metadata_join,pgcm_function_ids,samples,period
command,main_thread,runtime_helper_source_bound,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,js_for_of_next,no_pgcm_function_at_start,,1,5245845
between_phases,main_thread,runtime_helper_source_bound,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,js_string_addref_if_heap_string,no_pgcm_function_at_start,,1,5245460
command,main_thread,compiled_function_prefix,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_fn_cli_2_1_112_js__oN8,exact_start_and_symbol,66:10,1,5244879
startup,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_runtime::gc::barrier::write_barrier_slot_decoded,no_pgcm_function_at_start,,1,5244767
startup,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_runtime::object::meta_accessors::object_meta_ensure,no_pgcm_function_at_start,,1,5243663
command,main_thread,compiled_function_prefix,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_fn_cli_2_1_112_js__AF6,exact_start_and_symbol,82:216,1,5243598
startup,main_thread,compiled_function_prefix,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_fn_cli_2_1_112_js__h46$spec_b_i32_b,exact_start_and_symbol,63:55,1,5243587
command,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_runtime::object::descriptor_state::owner_index_add,no_pgcm_function_at_start,,1,5243096
command,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_runtime::gc::old_free::old_free_take_exact,no_pgcm_function_at_start,,1,5241915
command,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_runtime::collection_iter_object::dispatch_map_iterator_method_emit::{closure#1},no_pgcm_function_at_start,,1,5241732
command,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_runtime::object::descriptor_state::transfer_descriptor_owner,no_pgcm_function_at_start,,1,5241128
command,main_thread,runtime_helper_source_bound,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,js_array_from_values,no_pgcm_function_at_start,,1,5240910
command,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_runtime::string::intern::intern_dispatch_bytes,no_pgcm_function_at_start,,1,5240622
command,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_runtime::object::class_registry::dispatch::call_vtable_method_inner,no_pgcm_function_at_start,,1,5239901
command,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,compiler_builtins::math::libm_math::fmod::fmod,no_pgcm_function_at_start,,1,5239595
command,main_thread,compiled_function_prefix,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_method_cli_2_1_112_js__Os6__onRender,exact_start_and_symbol,16:5,1,5239430
command,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_runtime::array::iter_object::alloc_iterator_backing,no_pgcm_function_at_start,,1,5238979
startup,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_runtime::gc::layout_tables::layout_key_may_be_nursery,no_pgcm_function_at_start,,1,5238895
command,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,<alloc::string::String>::from_utf8_lossy,no_pgcm_function_at_start,,1,5238890
command,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,core::ptr::drop_glue::<tokio::runtime::scheduler::current_thread::CoreGuard>,no_pgcm_function_at_start,,1,5238243
command,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,<perry_runtime::gc::layout::HeapChildSlotIterator>::new,no_pgcm_function_at_start,,1,5238207
command,main_thread,runtime_helper_source_bound,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,js_packed_arraylike_index_get,no_pgcm_function_at_start,,1,5237842
command,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_runtime::iter_result::build_iter_result_ordered,no_pgcm_function_at_start,,1,5237338
command,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_runtime::object::object_is_regular,no_pgcm_function_at_start,,1,5237083
startup,main_thread,runtime_helper_source_bound,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,js_object_get_own_field_or_undef,no_pgcm_function_at_start,,1,5236937
startup,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_runtime::object::object_ops::descriptor_helpers::try_decode_descriptor::{closure#0},no_pgcm_function_at_start,,1,5236633
command,main_thread,compiled_function_prefix,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_closure_cli_2_1_112_js__37315,exact_start_and_symbol,18:2,1,5235394
command,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,<alloc::raw_vec::RawVecInner>::finish_grow,no_pgcm_function_at_start,,1,5235386
startup,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,__rustc::__rust_realloc,no_pgcm_function_at_start,,1,5234815
command,main_thread,runtime_helper_source_bound,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,js_string_split_n,no_pgcm_function_at_start,,1,5234781
command,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,"<hashbrown::map::HashMap<u32, u32, perry_runtime::fast_hash::PtrHasher>>::insert",no_pgcm_function_at_start,,1,5234766
between_phases,main_thread,other_application_symbol,/root/cc-perf-native-recv-0909/gc-leaf-census-20260911/compile-v2/cc-diagnostic,perry_runtime::gc::verify::restore_surviving_dirty_coverage,no_pgcm_function_at_start,,1,5234464
