# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 5K of event 'cycles:u'
# Event count (approx.): 23751808510
#
# Overhead,     Samples,      Period,Command        ,Shared Object       ,Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,IPC   [IPC Coverage]
 0.02%  , 1          , 4912069    ,claude         ,cc-diagnostic       ,[.] perry_runtime::url::get_string_content                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,-      -            
 0.02%  , 1          , 4910627    ,npm            ,node                ,[.] void v8::internal::String::WriteToFlat2<unsigned char>(unsigned char*. v8::internal::Tagged<v8::internal::ConsString>. unsigned int. unsigned int. v8::internal::SharedStringAccessGuardIfNeeded const&. v8::internal::PerThreadAssertScopeEmpty<false. (v8::internal::PerThreadAssertType)1. (v8::internal::PerThreadAssertType)2> const&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,-      -            
 0.02%  , 1          , 4903219    ,npm config get ,node                ,[.] v8::internal::interpreter::BytecodeArrayWriter::WriteJump(v8::internal::interpreter::BytecodeNode*. v8::internal::interpreter::BytecodeLabel*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,-      -            
 0.02%  , 1          , 4900216    ,claude         ,cc-diagnostic       ,[.] <regex_automata::dfa::onepass::DFA>::try_search_slots_imp                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,-      -            
 0.02%  , 1          , 4897813    ,npm            ,node                ,[.] Builtins_FunctionPrototypeCall                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,-      -            
 0.02%  , 1          , 4889486    ,claude         ,cc-diagnostic       ,[.] js_string_index_to_i32                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,-      -            
 0.02%  , 1          , 4875819    ,npm config get ,node                ,[.] v8::internal::AstValueFactory::GetOneByteStringInternal(v8::base::Vector<unsigned char const>)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,-      -            
 0.02%  , 1          , 4854052    ,claude         ,cc-diagnostic       ,[.] perry_closure_cli_2_1_112_js__37312                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,-      -            
 0.02%  , 1          , 4847871    ,npm            ,node                ,[.] v8::internal::ParserBase<v8::internal::Parser>::ParseProperty(v8::internal::ParserBase<v8::internal::Parser>::ParsePropertyInfo*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,-      -            
 0.02%  , 1          , 4837621    ,cc-diagnostic  ,cc-diagnostic       ,[.] perry_runtime::box::scan_box_roots_mut                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,-      -            
 0.02%  , 1          , 4836201    ,npm            ,node                ,[.] v8::internal::DeclarationScope::HoistSloppyBlockFunctions(v8::internal::AstNodeFactory*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,-      -            
 0.02%  , 1          , 4825992    ,npm config get ,node                ,[.] ustr_hashCharsN_78                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,-      -            
 0.02%  , 1          , 4802286    ,claude         ,cc-diagnostic       ,[.] <regex_automata::meta::regex::Regex>::search_half                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,-      -            
 0.02%  , 1          , 4792922    ,npm            ,node                ,[.] v8::internal::Segment::ZapContents()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,-      -            
 0.02%  , 1          , 4792724    ,claude         ,cc-diagnostic       ,[.] perry_runtime::path::string_from_header                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,-      -            
 0.02%  , 1          , 4791317    ,claude         ,cc-diagnostic       ,[.] <hashbrown::map::HashMap<usize. perry_runtime::gc::layout::slot_mask::LayoutSlotMask. perry_runtime::fast_hash::PtrHasher>>::get_mut::<usize>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,-      -            
 0.02%  , 1          , 4778112    ,npm config get ,node                ,[.] (anonymous namespace)::init_resb_result(UResourceDataEntry*. unsigned int. char const*. int. UResourceDataEntry*. char const*. int. UResourceBundle*. UErrorCode*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,-      -            
 0.02%  , 1          , 4776008    ,cc-diagnostic  ,cc-diagnostic       ,[.] js_gc_typed_shape_id_for_keys                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,-      -            
 0.02%  , 1          , 4771700    ,claude         ,cc-diagnostic       ,[.] perry_closure_cli_2_1_112_js__73959                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,-      -            
 0.02%  , 1          , 4760212    ,cc-diagnostic  ,cc-diagnostic       ,[.] perry_runtime::gc::verify::rebuild_evacuated_old_to_young_remembered_set                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,-      -            
 0.02%  , 1          , 4756527    ,cc-diagnostic  ,cc-diagnostic       ,[.] perry_runtime::gc::malloc::ensure_set_built                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,-      -            
 0.02%  , 1          , 4756076    ,cc-diagnostic  ,cc-diagnostic       ,[.] perry_runtime::arena::page_meta::classify_heap_space_in_range_uncached                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,-      -            
 0.02%  , 1          , 4755257    ,npm            ,node                ,[.] Builtins_ReturnHandler                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,-      -            
