phase,caller_body,entries,true,false,same_address_as_previous_at_site,entry_share_percent,negative_percent
3,perry_runtime::object::descriptors::js_object_get_own_property_names_shape,78,0,78,69,0.0001573665363812972,100.0
3,perry_runtime::promise::spec_combinators::is_object_value,76,0,76,74,0.00015333149698690496,100.0
3,js_array_forEach,55,0,55,0,0.00011096358334578647,100.0
3,perry_runtime::promise::then_probe::proto_signature,45,0,45,42,9.07883863738253e-05,100.0
3,perry_runtime::symbol::symbol_description_text,45,45,0,38,9.07883863738253e-05,0.0
3,perry_runtime::object::class_registry::function_prototype::is_plain_async_function_value,42,0,42,0,8.473582728223694e-05,100.0
3,perry_runtime::json::raw_json::ptr_is_raw_json_wrapper,36,0,36,0,7.263070909906023e-05,100.0
3,js_jsvalue_to_string,34,0,34,8,6.8595669704668e-05,100.0
3,js_closure_call9,31,0,31,27,6.254311061307965e-05,100.0
3,perry_runtime::gc::barrier::write_barrier_decoded_parent,30,30,0,0,6.0525590915883534e-05,0.0
3,perry_runtime::json::replacer::stringify_value_pretty,26,0,26,0,5.245551212709906e-05,100.0
3,perry_runtime::value::to_string::to_string_method_impl,25,0,25,8,5.0437992429902945e-05,100.0
3,js_array_reduce,24,0,24,0,4.842047273270682e-05,100.0
3,perry_runtime::object::class_handles::canonical_fetch_handle_kind_probe,24,24,0,0,4.842047273270682e-05,0.0
3,perry_runtime::object::class_registry::parent_static::class_object_own_field_bytes,24,0,24,21,4.842047273270682e-05,100.0
3,perry_runtime::object::global_fetch::headers_init_json_ptr,24,24,0,0,4.842047273270682e-05,0.0
3,perry_runtime::value::addr_class::try_read_tracked_gc_header,24,24,0,0,4.842047273270682e-05,0.0
3,js_class_method_snapshot_bind,23,0,23,21,4.6402953035510705e-05,100.0
3,js_object_set_method_by_name,23,0,23,0,4.6402953035510705e-05,100.0
3,js_closure_call14,14,0,14,13,2.8245275760745647e-05,100.0
3,perry_runtime::url::abort::abort_signal_ptr_from_value,14,0,14,0,2.8245275760745647e-05,100.0
3,perry_runtime::object::class_handles::canonical_handle_prototype_dispatch,12,12,0,0,2.421023636635341e-05,0.0
3,perry_runtime::promise::then_probe::own_then_scan,10,0,10,1,2.0175196971961178e-05,100.0
3,js_array_findIndex,6,0,6,0,1.2105118183176705e-05,100.0
3,js_closure_call7,6,0,6,5,1.2105118183176705e-05,100.0
3,perry_runtime::promise::combinators::combinator_iterable_to_array,6,0,6,3,1.2105118183176705e-05,100.0
3,js_fetch_input_ptr,4,0,4,0,8.07007878878447e-06,100.0
3,js_object_freeze,4,0,4,0,8.07007878878447e-06,100.0
3,js_error_subclass_capture_stack,3,0,3,0,6.052559091588353e-06,100.0
3,js_object_define_properties,3,0,3,0,6.052559091588353e-06,100.0
3,js_object_get_own_property_descriptor,3,0,3,2,6.052559091588353e-06,100.0
3,js_closure_call8,2,0,2,0,4.035039394392235e-06,100.0
3,perry_runtime::object::date_proto_thunks::date_to_json_value,1,0,1,0,2.0175196971961177e-06,100.0
