stage,category,callee,callsites,statepoints,leaf_callsites,gc_live_operands,gc_relocate_intrinsics,relocates_attributed,relocates_unattributed
post-opt,runtime,js_bool_box_release,12760,0,12760,0,0,0,0
post-opt,runtime,js_box_alloc_bits,56618,558,55479,1788,0,3271,0
post-opt,runtime,js_box_capture_cell_ptr,8709,8707,0,26500,0,26500,0
post-opt,runtime,js_box_get_bits,149761,144020,0,638225,0,867007,0
post-opt,runtime,js_box_get_bits_named,719,695,0,4603,0,4879,0
post-opt,runtime,js_box_get_bits_trusted,23849,23846,0,90763,0,101918,0
post-opt,runtime,js_box_get_bits_trusted_named,361,361,0,1040,0,1253,0
post-opt,runtime,js_box_release,74584,0,73748,0,0,0,0
post-opt,runtime,js_box_set,4,4,0,12,0,12,0
post-opt,runtime,js_box_set_bits,85284,51564,30177,168500,0,314027,0
post-opt,runtime,js_boxed_string_new,1,1,0,2,0,2,0
post-opt,runtime,js_btoa,8,8,0,20,0,26,0
post-opt,runtime,js_buffer_alloc,51,51,0,156,0,173,0
post-opt,runtime,js_buffer_alloc_fill_value,1,1,0,2,0,2,0
post-opt,runtime,js_buffer_alloc_unsafe,48,48,0,187,0,237,0
post-opt,runtime,js_buffer_byte_length_value,45,45,0,184,0,225,0
post-opt,runtime,js_buffer_concat,57,57,0,106,0,121,0
post-opt,runtime,js_buffer_concat_with_length,9,9,0,24,0,31,0
post-opt,runtime,js_buffer_from_arraybuffer_slice,10,10,0,60,0,62,0
post-opt,runtime,js_buffer_from_value,217,216,0,645,0,842,0
post-opt,runtime,js_buffer_is_encoding,2,2,0,6,0,12,0
post-opt,runtime,js_buffer_is_node_buffer,45,45,0,141,0,156,0
post-opt,runtime,js_buffer_validate_concat_list,66,66,0,131,0,153,0
post-opt,runtime,js_buffer_validate_size,100,100,0,345,0,412,0
post-opt,runtime,js_build_class_keys_array,17957,0,0,0,0,0,0
post-opt,runtime,js_bun_ffi_has_active_threadsafe_callbacks,339,291,0,612,0,906,0
post-opt,runtime,js_callback_timer_has_pending,339,291,0,612,0,906,0
post-opt,runtime,js_canonical_common_handle_value,66,64,0,115,0,156,0
post-opt,runtime,js_canonical_handle_id_from_addr,48,48,0,85,0,109,0
post-opt,runtime,js_child_process_exec,2,2,0,4,0,4,0
post-opt,runtime,js_child_process_exec_file,7,7,0,5,0,8,0
post-opt,runtime,js_child_process_exec_file_sync,6,6,0,2,0,4,0
