phase,symbol,linked_ip,symbol_offset,instruction,samples,period,phase_percent,focus_region
command,js_object_get_field_by_name,0x1188ae20,0,push %rbp,3,15725103,0.08310963023210693,
command,js_object_get_field_by_name,0x1188ae21,1,"mov %rsp,%rbp",1,5119070,0.027055086051409116,
command,js_object_get_field_by_name,0x1188af48,296,"mov %rax,-0x90(%rbp)",1,5236381,0.02767509304482332,
command,js_object_get_field_by_name,0x1188af93,371,"movabs $0xffff000000000000,%rcx",1,5274510,0.027876610776765683,
command,js_object_get_field_by_name,0x1188afa3,387,"mov %r14,%r13",1,5254826,0.02777257775634675,
command,js_object_get_field_by_name,0x1188afd7,439,"mov 0x8(%rbx),%rax",1,5103698,0.026973842625790348,
command,js_object_get_field_by_name,0x1188afe4,452,"test %r15,%r15",1,5245926,0.027725539863554204,
command,js_object_get_field_by_name,0x1188b072,594,"movslq (%rdx,%rcx,4),%rcx",1,5274620,0.027877192143979972,
command,js_object_get_field_by_name,0x1188b0bb,667,"cmp $0xf0000,%rax",1,5248494,0.027739112145429626,
command,js_object_get_field_by_name,0x1188b0f1,721,jb 1188b105 <js_object_get_field_by_name+0x2e5>,1,5236720,0.027676884712874633,
command,js_object_get_field_by_name,0x1188b16e,846,"bt %rcx,%rdx",1,5270595,0.027855919389093455,
command,js_object_get_field_by_name,0x1188b263,1091,"mov (%rcx,%rax,8),%rax",1,5305509,0.02804044534290907,
command,js_object_get_field_by_name,0x1188b2ed,1229,"mov %r13,%rsi",1,5217839,0.027577095673120017,
command,js_object_get_field_by_name,0x1188b523,1795,"cmp 0x10(%rax),%rdi",1,5320799,0.028121255385695366,
command,js_object_get_field_by_name,0x1188b643,2083,"mov %r12,%rbx",1,5230173,0.027642282793311396,
command,js_object_get_field_by_name,0x1188b670,2128,jae 1188b700 <js_object_get_field_by_name+0x8e0>,1,5325773,0.028147543754094256,
command,js_object_get_field_by_name,0x1188b684,2148,"and $0xf,%ecx",1,5261434,0.027807502070456094,
command,js_object_get_field_by_name,0x1188b72e,2318,je 1188b7b0 <js_object_get_field_by_name+0x990>,1,5224670,0.02761319857712742,
command,js_object_get_field_by_name,0x1188b73b,2331,"mov %r12,%rcx",1,5179745,0.02737576292165493,
command,js_object_get_field_by_name,0x1188b75a,2362,"and $0xf,%r12d",1,5119374,0.027056692738983153,
command,js_object_get_field_by_name,0x1188ba77,3159,"mov %rax,-0x40(%rbp)",1,5246601,0.027729107344187345,
command,js_object_get_field_by_name,0x1188ba82,3170,jb 1188c401 <js_object_get_field_by_name+0x15e1>,1,5230015,0.027641447738585415,
command,js_object_get_field_by_name,0x1188ba8d,3181,jne 1188c401 <js_object_get_field_by_name+0x15e1>,1,5256911,0.027783597307635792,
command,js_object_get_field_by_name,0x1188bab6,3222,"shr $0x36,%rcx",1,5214142,0.027557556449563383,
command,js_object_get_field_by_name,0x1188bae9,3273,"mov %r12,%rcx",1,5298702,0.028004469282657513,
command,js_object_get_field_by_name,0x1188bc25,3589,"cmp $0xfffffffe,%eax",1,5228652,0.027634244070284714,
command,js_object_get_field_by_name,0x1188bf91,4465,"bt %rax,%rcx",1,5272341,0.027865147272331182,
